clipfrac,time_elapsed,policy_entropy,value_loss,serial_timesteps,total_timesteps,n_updates,ep_len_mean,fps,approxkl,explained_variance,policy_loss,ep_reward_mean
0.04838867,2.6226043701171875e-06,1.4136659,4.8846464,2048,2048,1,55.583333333333336,426,0.004288598,-0.0005288124084472656,-0.0027775397,10.972222222222221
0.036035158,4.8054962158203125,1.4073886,6.597989,4096,4096,2,62.86153846153846,368,0.0035676453,0.012435078620910645,-0.0025299792,11.830769230769231
0.03354492,10.359450817108154,1.3866335,7.118844,6144,6144,3,65.45161290322581,402,0.003983566,0.029562652111053467,-0.0038739375,12.655913978494624
0.018798828,15.454109191894531,1.3614856,12.184716,8192,8192,4,72.68,362,0.0026430294,0.04128319025039673,-0.0018053083,14.66
0.02866211,21.10799264907837,1.3428551,15.796603,10240,10240,5,80.9,418,0.0029476508,0.059860050678253174,-0.003656457,17.84
0.040966798,26.00827383995056,1.3306055,19.554064,12288,12288,6,87.29,415,0.003792306,0.07769542932510376,-0.0033480532,21.37
0.015771484,30.935755252838135,1.3185122,15.595747,14336,14336,7,95.33,384,0.0021861615,0.1041366457939148,-0.0017757559,24.07
0.033496093,36.257824420928955,1.3100151,20.562881,16384,16384,8,104.54,347,0.003432413,0.11234396696090698,-0.0031442847,28.27
0.032958984,42.15814471244812,1.2939332,18.229908,18432,18432,9,111.84,375,0.0036918744,0.1638718843460083,-0.0035303608,31.18
0.039355468,47.61257553100586,1.2822322,18.587788,20480,20480,10,114.55,362,0.003630402,0.1860032081604004,-0.0016474479,32.06
0.028466797,53.26094365119934,1.2730559,23.040874,22528,22528,11,122.69,382,0.0033016664,0.21955639123916626,-0.0021014088,35.14
0.023144532,58.61336922645569,1.2765862,27.905457,24576,24576,12,124.89,390,0.00253003,0.25740188360214233,-0.0012551767,36.16
0.010644531,63.85654640197754,1.2809657,22.409634,26624,26624,13,128.93,361,0.0017186037,0.2821428179740906,-0.00065066,38.85
0.022265624,69.51852202415466,1.2653883,31.163397,28672,28672,14,132.44,391,0.002719568,0.3273801803588867,-0.0017717233,42.88
0.008496094,74.75630474090576,1.2413568,25.417658,30720,30720,15,135.47,381,0.0013983471,0.3321586847305298,-0.0007649482,45.46
0.03354492,80.1235089302063,1.2231582,16.845936,32768,32768,16,133.78,397,0.0037296407,0.3839092254638672,-0.00304563,44.59
0.025390625,85.27702212333679,1.2111923,19.666119,34816,34816,17,135.15,416,0.0029407325,0.3778172731399536,-0.0021001748,45.5
0.01850586,90.19491124153137,1.2122414,20.802967,36864,36864,18,133.87,400,0.0021404005,0.4235321879386902,-0.0014922686,44.37
0.05444336,95.31104898452759,1.2158252,18.208372,38912,38912,19,134.19,386,0.0048087835,0.4537160396575928,-0.003993408,44.8
0.0147949215,100.60780429840088,1.2099297,35.018227,40960,40960,20,136.26,370,0.0018424876,0.43047499656677246,-0.0006003395,47.06
0.052197266,106.13835835456848,1.2065908,20.353273,43008,43008,21,136.16,368,0.004720419,0.48374295234680176,-0.0047185444,46.03
0.022265624,111.70339560508728,1.2057011,24.705526,45056,45056,22,137.46,367,0.0025235,0.490980327129364,-0.0013193646,46.25
0.04116211,117.27473282814026,1.2016166,25.288687,47104,47104,23,139.78,398,0.0037149568,0.5004989504814148,-0.002536396,49.24
0.031445313,122.41846823692322,1.1964617,30.364477,49152,49152,24,140.06,388,0.0034245134,0.5064435303211212,-0.002712835,51.82
0.028466797,127.6928608417511,1.184443,20.793444,51200,51200,25,141.1,409,0.0032498222,0.5237104594707489,-0.002038833,52.1
0.014257813,132.70200395584106,1.175122,18.017323,53248,53248,26,143.48,391,0.0019460259,0.5429637730121613,-0.00061068224,53.33
0.056689452,137.93961000442505,1.1693414,26.171957,55296,55296,27,141.67,416,0.0047413222,0.53355273604393,-0.0048761587,52.12
0.011767578,142.85267090797424,1.1441333,17.961891,57344,57344,28,141.09,397,0.0017864781,0.5600848197937012,-0.0014600987,51.7
0.043164063,148.00346684455872,1.1213838,21.281315,59392,59392,29,140.08,347,0.0040690084,0.5549992918968201,-0.004321967,49.95
0.03251953,153.90234637260437,1.1131047,23.575409,61440,61440,30,141.07,379,0.003548659,0.5819640755653381,-0.0017356377,50.26
0.042138673,159.29764938354492,1.118614,24.435871,63488,63488,31,141.11,393,0.0037295825,0.5781620144844055,-0.002283488,48.75
0.027929688,164.5083076953888,1.1174824,20.793077,65536,65536,32,140.72,349,0.003175173,0.6089541018009186,-0.0018724401,49.14
0.020117188,170.37228679656982,1.1175791,28.636353,67584,67584,33,144.07,390,0.0021505556,0.621344268321991,-0.000282864,52.7
0.020263672,175.61910223960876,1.1243261,15.409628,69632,69632,34,145.04,363,0.002155995,0.6475954651832581,-0.001210323,52.5
0.06455078,181.25800466537476,1.1307617,25.165714,71680,71680,35,144.63,372,0.005111192,0.6410219371318817,-0.0045099603,52.77
0.016308594,186.76287746429443,1.1296667,22.282509,73728,73728,36,147.77,377,0.0020208794,0.6367125511169434,-0.0013093263,54.99
0.017871093,192.18729376792908,1.1178874,19.943745,75776,75776,37,148.47,380,0.0021889403,0.6546263694763184,-0.00077498966,55.36
0.021142578,197.5722005367279,1.1204054,27.066616,77824,77824,38,151.59,359,0.0023326455,0.6682072281837463,-0.0014687879,57.54
0.0145019535,203.26924061775208,1.1350629,18.209398,79872,79872,39,151.75,414,0.0018295329,0.6883216500282288,-0.00090456207,57.01
0.018652344,208.20632481575012,1.1347014,17.375534,81920,81920,40,151.14,401,0.0022731512,0.6994440853595734,-0.00082037394,55.48
0.025048828,213.3150613307953,1.1203684,13.039105,83968,83968,41,149.34,377,0.0026692376,0.701864629983902,-0.0018353823,52.81
0.011572266,218.7348976135254,1.1154487,15.959064,86016,86016,42,151.28,395,0.0017254226,0.7002476751804352,-0.0005407163,53.36
0.020166015,223.92055487632751,1.110749,15.3813505,88064,88064,43,151.92,352,0.002283252,0.7200103998184204,-0.0010221147,53.02
0.038330078,229.7308509349823,1.0991112,16.680302,90112,90112,44,150.14,363,0.0034622834,0.7406672835350037,-0.0031992611,51.33
0.021972656,235.36368250846863,1.1038823,15.441298,92160,92160,45,148.75,359,0.0021974747,0.7420092225074768,-0.00060494954,49.42
0.062207032,241.06015920639038,1.1156956,16.237019,94208,94208,46,148.9,415,0.005129966,0.7286216616630554,-0.0023747757,49.03
0.055517577,245.99061942100525,1.1123694,13.869768,96256,96256,47,148.5,383,0.00457642,0.7541139721870422,-0.0026830428,48.53
0.035351563,251.3261160850525,1.1232386,19.261919,98304,98304,48,151.41,402,0.0029813857,0.7640010863542557,-0.0015135256,51.32
0.05546875,256.41695857048035,1.1354878,14.247696,100352,100352,49,152.41,357,0.0045335805,0.7617850750684738,-0.0038358017,52.62
0.02475586,262.152615070343,1.1336349,18.999592,102400,102400,50,154.0,391,0.0027725303,0.7695983052253723,-0.0019316475,54.54
0.040625,267.38709330558777,1.1289865,20.755896,104448,104448,51,154.94,385,0.003933153,0.7804311811923981,-0.0018899838,55.93
0.028564453,272.70259070396423,1.1221874,12.2014065,106496,106496,52,154.98,386,0.0029308102,0.7890962660312653,-0.0016583714,55.65
0.03779297,278.0081868171692,1.1187551,20.576735,108544,108544,53,157.13,390,0.0035692856,0.7779746949672699,-0.0013632041,57.36
0.03100586,283.25055265426636,1.1241677,11.768873,110592,110592,54,158.18,378,0.0032057117,0.822234570980072,-0.0025103341,58.29
0.053369142,288.66124725341797,1.1181939,11.14015,112640,112640,55,158.21,358,0.004613962,0.8147314935922623,-0.0045497147,57.49
0.034814455,294.37214064598083,1.1063677,10.599373,114688,114688,56,158.28,339,0.0037898247,0.8103304654359818,-0.00201212,56.27
0.076611325,300.41015911102295,1.1074296,9.152714,116736,116736,57,156.79,382,0.0060753776,0.8247582763433456,-0.002277883,53.2
0.03701172,305.76417803764343,1.1179419,11.624865,118784,118784,58,158.57,394,0.0035041063,0.8409303575754166,-0.0030701638,53.1
0.030566406,310.9585485458374,1.1185892,17.0163,120832,120832,59,160.22,394,0.003296405,0.8226985037326813,-0.0011847779,52.31
0.019970704,316.1536726951599,1.1157327,8.975794,122880,122880,60,162.14,365,0.002509941,0.8384969532489777,-0.0008821397,53.02
0.036572266,321.7611825466156,1.1141288,8.800167,124928,124928,61,160.64,393,0.0037203617,0.8475146591663361,-0.003596329,50.12
0.052685548,326.96721029281616,1.1080172,9.809172,126976,126976,62,161.34,395,0.004550417,0.8656365126371384,-0.0009660471,50.43
0.041064452,332.1531789302826,1.0951732,9.684093,129024,129024,63,162.12,364,0.0041225185,0.8595108240842819,-0.003641144,51.31
0.027001953,337.76841926574707,1.0835941,8.841709,131072,131072,64,161.76,343,0.0026450115,0.8601187020540237,-0.0002672576,51.0
0.035449218,343.7380938529968,1.0948249,17.33517,133120,133120,65,165.77,362,0.0031380889,0.851766049861908,-0.00048686535,54.68
0.023779297,349.3956642150879,1.1033895,10.302938,135168,135168,66,166.36,402,0.0029106406,0.8645015954971313,-0.00084318046,54.87
0.04584961,354.4872968196869,1.1045926,14.165007,137216,137216,67,167.12,328,0.0044909734,0.8566077053546906,-0.0038675081,55.06
0.031201173,360.73272347450256,1.0988493,14.063257,139264,139264,68,167.25,397,0.0032551703,0.8616990447044373,-0.00080909795,54.8
0.02216797,365.8843493461609,1.0920494,10.846212,141312,141312,69,169.61,364,0.0026192176,0.8718496412038803,6.881158e-05,56.64
0.0421875,371.50065422058105,1.0863185,11.540255,143360,143360,70,171.73,380,0.0039029326,0.8704607337713242,-0.0009884804,57.87
0.024072265,376.8802366256714,1.0867842,8.464618,145408,145408,71,172.34,405,0.0025633257,0.9023426547646523,-0.0007547059,57.32
0.021337891,381.9327201843262,1.0913802,10.086199,147456,147456,72,176.4,366,0.0022874782,0.8992905169725418,0.00014744748,59.98
0.020117188,387.5241394042969,1.0958358,11.180794,149504,149504,73,179.83,400,0.0024193919,0.8960059881210327,0.00012971865,62.73
0.017236328,392.64557933807373,1.0916374,7.197478,151552,151552,74,176.97,368,0.0024425038,0.9024122729897499,-0.00078763266,59.23
0.02055664,398.2078061103821,1.08801,19.639812,153600,153600,75,182.54,414,0.0023375836,0.8791437819600105,-0.00035728066,63.88
0.024609376,403.1583209037781,1.0826398,2.9598856,155648,155648,76,177.94,376,0.0028231936,0.9248513802886009,-0.0010182629,58.39
0.05732422,408.6026213169098,1.0860809,13.606316,157696,157696,77,179.52,409,0.0047130976,0.9040102586150169,-0.0018235615,60.51
0.025634766,413.6023893356323,1.0951083,14.310641,159744,159744,78,183.68,358,0.0024548185,0.8896916657686234,-0.0014690126,63.18
0.029785156,419.31094694137573,1.0899276,8.428965,161792,161792,79,184.6,402,0.0033277594,0.9086301028728485,-0.0019209901,63.1
0.03178711,424.39741110801697,1.0810664,9.337221,163840,163840,80,184.72,398,0.0032826096,0.9180211052298546,-0.002226108,62.47
0.04399414,429.5333216190338,1.0742639,11.962579,165888,165888,81,187.28,392,0.004081888,0.9191039279103279,-0.0025928367,64.82
0.038623046,434.7477185726166,1.0629213,11.656435,167936,167936,82,189.76,370,0.003568725,0.9257112145423889,-0.0010139026,66.93
0.022802735,440.2703983783722,1.0608628,17.714054,169984,169984,83,195.05,382,0.002578084,0.9038001596927643,-0.0004324796,71.01
0.04472656,445.62952065467834,1.0629761,4.8110514,172032,172032,84,193.33,386,0.004552751,0.9391747526824474,-0.002862768,69.64
0.03334961,450.92604780197144,1.0524039,4.1399965,174080,174080,85,191.38,375,0.003359868,0.9370294660329819,-0.0017192035,66.92
0.023876954,456.37629675865173,1.0418036,6.079528,176128,176128,86,191.98,385,0.002680469,0.9427986815571785,-7.438242e-05,67.35
0.021582032,461.68849873542786,1.0344172,8.043514,178176,178176,87,189.56,373,0.0026567117,0.9316006973385811,-0.0008350485,65.28
0.037060548,467.17558097839355,1.0181224,6.608918,180224,180224,88,188.18,388,0.0036401674,0.94059282168746,-0.000726979,64.75
0.03388672,472.442510843277,1.010455,7.062237,182272,182272,89,185.84,396,0.0032993655,0.9304537400603294,-0.00090095605,61.88
0.050195314,477.60440397262573,1.0040908,7.40961,184320,184320,90,186.83,392,0.004375338,0.947956670075655,-0.0009734586,62.81
0.02734375,482.8211145401001,0.9940785,4.746747,186368,186368,91,184.59,375,0.0028833507,0.9511836096644402,-0.0030695314,59.59
0.066259764,488.2819628715515,0.9874352,8.595269,188416,188416,92,181.91,374,0.0054676766,0.9445386305451393,-0.005200864,57.67
0.05805664,493.74895548820496,0.979167,3.1872077,190464,190464,93,182.47,396,0.004940597,0.9594699703156948,-0.0011061043,57.65
0.044042967,498.92205810546875,0.9756752,8.013151,192512,192512,94,184.29,363,0.003953714,0.9469862245023251,-0.0014849849,60.17
0.042333983,504.55700612068176,0.95869195,7.7185946,194560,194560,95,184.34,385,0.0041571967,0.9450747147202492,-0.0032110487,59.72
0.07915039,509.8646535873413,0.9327372,3.8861604,196608,196608,96,186.33,397,0.00649635,0.9581677578389645,-0.0033709581,61.34
0.043554686,515.0123822689056,0.9344843,3.4039192,198656,198656,97,185.97,363,0.0036061343,0.9656317159533501,-0.0008206441,60.76
0.038427733,520.6423616409302,0.93389875,5.2672358,200704,200704,98,188.42,412,0.0040090373,0.9510724097490311,-0.0014385923,62.58
0.023486327,525.6062006950378,0.932044,6.6822767,202752,202752,99,188.01,389,0.0025371488,0.9511896781623363,-0.00040649832,61.51
0.02216797,530.8643977642059,0.932699,7.5711923,204800,204800,100,190.09,374,0.002527905,0.9558434337377548,4.579696e-05,63.03
0.045703124,536.3295528888702,0.92843616,6.3378,206848,206848,101,188.61,353,0.0039392663,0.9513353258371353,0.0002923449,61.3
0.072265625,542.131341457367,0.9236261,2.5662537,208896,208896,102,187.0,421,0.006303494,0.9694160930812359,-0.0025665315,59.25
0.03461914,546.9881286621094,0.9111949,5.7012277,210944,210944,103,188.22,375,0.0032100354,0.9620015919208527,-0.00075420877,60.0
0.028955078,552.4484717845917,0.9073399,5.0020304,212992,212992,104,191.1,390,0.0029577338,0.9641928933560848,-7.6722274e-05,62.09
0.045410156,557.6934826374054,0.9109022,4.7342415,215040,215040,105,190.63,378,0.004246586,0.9567027427256107,-0.0017040152,60.52
0.06298828,563.1032238006592,0.9188094,5.6298857,217088,217088,106,191.49,404,0.0052080792,0.9582771174609661,-0.000110704335,59.68
0.019189453,568.1625204086304,0.91253024,1.7830105,219136,219136,107,193.07,394,0.0024445548,0.9796373210847378,0.00081850466,61.02
0.06015625,573.3527977466583,0.89756453,2.296537,221184,221184,108,192.74,362,0.0053623277,0.9772506579756737,-0.0020032744,60.83
0.025097657,578.9990603923798,0.88242567,4.712705,223232,223232,109,193.15,361,0.0028732351,0.9673661440610886,-0.0007071998,61.29
0.03666992,584.6588551998138,0.87780255,2.1846595,225280,225280,110,190.31,373,0.003481337,0.9773002658039331,-0.00020905907,59.28
0.028955078,590.1500134468079,0.8844922,1.6413944,227328,227328,111,187.85,399,0.00316551,0.9771165736019611,-0.0013252326,57.54
0.047705077,595.2841308116913,0.88261014,3.4496188,229376,229376,112,186.46,401,0.004362761,0.9741322305053473,-0.0004689629,56.98
0.06357422,600.3820931911469,0.880455,4.213255,231424,231424,113,184.97,404,0.005283923,0.9710877127945423,-0.0022807,56.79
0.06279297,605.4431686401367,0.88087785,1.7693481,233472,233472,114,181.59,381,0.005198282,0.981958931311965,-0.0011249778,55.67
0.048046876,610.8088264465332,0.87464964,3.2247467,235520,235520,115,181.73,402,0.004229018,0.9824813045561314,-0.001180715,57.87
0.02993164,615.903094291687,0.866646,3.6322684,237568,237568,116,181.32,385,0.00315633,0.9776295851916075,-0.00041767932,59.3
0.03671875,621.2135570049286,0.85160196,6.1379185,239616,239616,117,180.4,414,0.0037495415,0.9715198278427124,-0.000697838,59.54
0.043310545,626.1508135795593,0.8335519,1.2972966,241664,241664,118,180.0,386,0.003973094,0.9868233175948262,-0.0006623055,60.75
0.03569336,631.4462451934814,0.8275325,6.4853544,243712,243712,119,181.47,390,0.0032670505,0.9741428382694721,-0.00023815283,63.48
0.025927734,636.6984057426453,0.82376194,4.950035,245760,245760,120,185.38,388,0.0026948967,0.9766040071845055,-2.0917209e-05,68.44
0.01826172,641.9686954021454,0.8203023,1.5683128,247808,247808,121,184.64,420,0.0024336516,0.9862614860758185,-0.00036493826,67.94
0.03227539,646.8378722667694,0.80729944,2.2158628,249856,249856,122,184.11,376,0.00324015,0.9856970328837633,-0.0019183379,68.05
0.035498045,652.280914068222,0.79723924,1.1554497,251904,251904,123,184.24,383,0.003428004,0.9894956042990088,0.00081913045,69.48
0.056689452,657.6230161190033,0.7876507,4.3576837,253952,253952,124,184.6,397,0.004941135,0.9809067640453577,-0.0015123754,70.33
0.035351563,662.7824327945709,0.7728429,4.3646555,256000,256000,125,186.78,318,0.0035258587,0.9819128140807152,0.0008062835,72.59
0.038916014,669.2142055034637,0.75571066,2.3064253,258048,258048,126,186.3,379,0.0038955328,0.9868234228342772,-0.00075972447,72.19
0.017480468,674.6144366264343,0.7427376,1.9209067,260096,260096,127,187.71,409,0.002174692,0.9880547234788537,0.00081052317,73.14
0.038476564,679.6166958808899,0.7325491,3.2475467,262144,262144,128,186.53,395,0.0037002838,0.9829965438693762,-2.9576802e-05,71.65
0.03251953,684.7939529418945,0.727227,0.80673474,264192,264192,129,187.45,380,0.0030136958,0.9931947099976242,0.0006817912,72.35
0.035253905,690.1782817840576,0.7183309,1.5205941,266240,266240,130,186.35,398,0.003429429,0.9893174031749368,0.00035445084,71.29
0.04951172,695.3236262798309,0.7084193,0.9527868,268288,268288,131,185.06,397,0.004304289,0.9909685794264078,-0.0015167249,69.81
0.041796874,700.4729924201965,0.69865835,1.4349183,270336,270336,132,185.31,397,0.0038133287,0.9911054102703929,-4.7293735e-05,69.7
0.030566406,705.6228461265564,0.69012105,2.0017037,272384,272384,133,186.2,408,0.0031288571,0.988657008856535,9.766172e-05,70.05
0.03779297,710.6359932422638,0.68581355,1.7017332,274432,274432,134,183.1,367,0.003435947,0.9890542486682534,-0.0006811904,66.46
0.035986327,716.2131667137146,0.6890217,1.6077225,276480,276480,135,182.09,342,0.0033230805,0.9894806668162346,0.00053817715,65.13
0.054785155,722.1954963207245,0.67959857,1.979311,278528,278528,136,180.31,391,0.004771413,0.988041621632874,-0.00051409716,63.15
0.044384766,727.433679819107,0.6707042,0.36972338,280576,280576,137,178.0,368,0.003930404,0.9963623317889869,0.0012634064,60.57
0.046191406,732.9952816963196,0.6647524,1.111491,282624,282624,138,177.38,361,0.0041153072,0.9912513066083193,-0.0013553922,59.78
0.04526367,738.6641962528229,0.6563935,1.5611548,284672,284672,139,178.28,412,0.0041080243,0.989916168153286,-0.0010611993,59.95
0.054052733,743.6354281902313,0.64160717,0.83138674,286720,286720,140,180.49,386,0.0045503443,0.99391924822703,-0.0015158856,61.75
0.076367185,748.9399390220642,0.6289348,0.57952034,288768,288768,141,178.31,399,0.0066214004,0.9953006845898926,-0.00054446637,59.33
0.084228516,754.0728125572205,0.60998863,0.29645962,290816,290816,142,178.5,410,0.0069548176,0.9970561363734305,-0.004811964,59.81
0.045996092,759.0580184459686,0.5977912,1.4917551,292864,292864,143,177.18,427,0.004129144,0.9918421981856227,0.00072902936,58.9
0.046582032,763.8482398986816,0.59257346,1.1384398,294912,294912,144,178.57,445,0.0041483985,0.9935613484121859,0.00024527838,60.85
0.067871094,768.4488799571991,0.580451,0.49822634,296960,296960,145,177.51,369,0.00551557,0.9956981637515128,-0.0030359956,60.23
0.049462892,773.9984319210052,0.5538329,0.29846853,299008,299008,146,177.08,389,0.004792661,0.9975154588464648,-0.00047513322,60.37
0.051757812,779.2541444301605,0.5320069,2.3752863,301056,301056,147,176.3,362,0.0046599335,0.9895268008112907,-0.0012328197,60.17
0.08618164,784.908894777298,0.52531606,1.0296564,303104,303104,148,177.2,410,0.007077483,0.9948335643857718,-0.0020398023,62.11
0.04536133,789.9000754356384,0.5253979,1.0702807,305152,305152,149,179.8,384,0.0041202577,0.9950371636077762,-0.0006741001,65.66
0.059375,795.2246041297913,0.51740414,1.4775279,307200,307200,150,181.46,423,0.0049276976,0.9928691647946835,0.0011073134,67.75
0.061523438,800.0618827342987,0.51371896,1.2759855,309248,309248,151,181.51,392,0.005147052,0.9918880444020033,-0.0006472982,67.66
0.09487305,805.2820219993591,0.5120107,0.58436227,311296,311296,152,180.33,389,0.007558141,0.9954717364162207,-0.001792537,66.69
0.051171876,810.5366837978363,0.5042633,1.0194811,313344,313344,153,180.24,373,0.004378941,0.994464308489114,3.422723e-05,66.75
0.091992185,816.0242855548859,0.49054843,0.2596935,315392,315392,154,181.18,397,0.007456892,0.9978541962336749,-0.003474287,67.82
0.08339844,821.1754999160767,0.4720785,0.7459236,317440,317440,155,181.22,438,0.0070533403,0.9940276648849249,0.0009914391,67.6
0.059521485,825.8500952720642,0.45385233,1.3222487,319488,319488,156,181.56,428,0.0050851367,0.993983477819711,-0.001169171,68.04
0.10864258,830.6276972293854,0.442488,0.5134823,321536,321536,157,178.57,402,0.00896486,0.9965122919529676,0.001059009,64.34
0.08183594,835.7155439853668,0.43527237,0.71882695,323584,323584,158,176.94,404,0.006586235,0.9956322009675205,0.00080749503,62.48
0.05961914,840.7779498100281,0.42685896,1.9817619,325632,325632,159,178.09,325,0.005072577,0.9929015766829252,-0.00080297736,63.46
0.07851563,847.0763423442841,0.41386476,0.98235404,327680,327680,160,179.15,420,0.006310576,0.994398383423686,-0.0036676428,64.3
0.06552734,851.9485261440277,0.40877086,0.70770514,329728,329728,161,179.27,385,0.005329421,0.9941663299687207,0.00086575735,63.64
0.07050781,857.2693877220154,0.3994833,0.7033041,331776,331776,162,178.27,437,0.0063149096,0.9951674859039485,0.0002720307,62.56
